player_id,full_name,utility,position_ranking
00-0022942,Philip Rivers,25.3085,51
00-0023459,Aaron Rodgers,41.0597,16
00-0026158,Joe Flacco,36.2357,26
00-0026300,Josh Johnson,24.999699999999997,53
00-0026498,Matthew Stafford,144.2225,3
00-0027973,Andy Dalton,23.848499999999998,61
00-0028118,Tyrod Taylor,28.1621,43
00-0029263,Russell Wilson,28.5413,42
00-0029604,Kirk Cousins,31.782899999999998,36
00-0030565,Geno Smith,38.2365,23
00-0031237,Teddy Bridgewater,23.1205,66
00-0031345,Jimmy Garoppolo,22.516499999999997,81
00-0031503,Jameis Winston,25.911699999999996,47
00-0032268,Marcus Mariota,34.862899999999996,27
00-0032434,Brandon Allen,23.138899999999996,65
00-0032950,Carson Wentz,29.323699999999995,38
00-0033077,Dak Prescott,150.08249999999995,2
00-0033106,Jared Goff,71.74249999999998,12
00-0033119,Jacoby Brissett,42.3525,14
00-0033319,Nick Mullens,22.644499999999997,75
00-0033357,Taysom Hill,28.155699999999996,44
00-0033662,Cooper Rush,23.654099999999996,63
00-0033869,Mitchell Trubisky,24.854899999999997,54
00-0033873,Patrick Mahomes,93.25249999999997,9
00-0033949,Joshua Dobbs,22.9101,69
00-0034577,Kyle Allen,22.621299999999998,78
00-0034771,Mason Rudolph,24.263699999999996,58
00-0034796,Lamar Jackson,39.342099999999995,21
00-0034855,Baker Mayfield,83.07249999999996,11
00-0034857,Josh Allen,120.9125,6
00-0034869,Sam Darnold,42.462499999999984,13
00-0035100,Jake Browning,27.0125,45
00-0035228,Kyler Murray,30.292499999999997,37
00-0035264,Jarrett Stidham,22.580499999999997,79
00-0035289,Gardner Minshew,22.839699999999997,70
00-0035704,Drew Lock,22.638899999999996,76
00-0035710,Daniel Jones,42.0837,15
00-0035993,Tyler Huntley,25.864499999999996,48
00-0036212,Tua Tagovailoa,36.3621,25
00-0036264,Jordan Love,40.9877,17
00-0036355,Justin Herbert,95.6525,8
00-0036389,Jalen Hurts,91.07249999999996,10
00-0036442,Joe Burrow,33.866099999999996,30
00-0036679,Shane Buechele,22.9565,68
00-0036898,Davis Mills,29.131700000000002,39
00-0036945,Justin Fields,33.0669,32
00-0036971,Trevor Lawrence,155.3525,1
00-0036972,Mac Jones,33.1653,31
00-0037012,Trey Lance,24.470899999999997,56
00-0037013,Zach Wilson,22.8277,71
00-0037324,Chris Oladokun,24.193299999999997,59
00-0037834,Brock Purdy,37.3741,24
00-0038102,Kenny Pickett,23.688499999999998,62
00-0038128,Malik Willis,25.307699999999997,52
00-0038400,Tanner McKee,24.334899999999998,57
00-0038416,Tyson Bagent,22.733299999999996,73
00-0038579,Aidan O'Connell,23.2293,64
00-0038582,Clayton Tune,23.0549,67
00-0038658,Adrian Martinez,22.580499999999997,79
00-0039150,Bryce Young,40.7941,18
00-0039163,C.J. Stroud,39.814099999999996,20
00-0039164,Anthony Richardson,22.801299999999998,72
00-0039376,Spencer Rattler,32.2973,35
00-0039398,Joe Milton III,23.888499999999997,60
00-0039577,Kedon Slovis,22.626099999999997,77
00-0039732,Bo Nix,116.50249999999997,7
00-0039851,Drake Maye,125.2225,4
00-0039910,Jayden Daniels,32.8285,33
00-0039917,Michael Penix Jr.,32.7269,34
00-0039918,Caleb Williams,124.12249999999997,5
00-0039923,J.J. McCarthy,34.7693,28
00-0040206,Riley Leonard,25.661299999999997,49
00-0040234,Quinn Ewers,25.545299999999997,50
00-0040398,Brady Cook,26.4005,46
00-0040494,Max Brosmer,24.4725,55
00-0040668,Shedeur Sanders,28.921299999999995,40
00-0040673,Jalen Milroe,22.684499999999996,74
00-0040676,Cam Ward,38.9925,22
00-0040691,Jaxson Dart,40.186099999999996,19
00-0040704,Dillon Gabriel,28.5677,41
00-0040743,Tyler Shough,34.5597,29
00-0029892,Kyle Juszczyk,19.8285,71
00-0031687,Raheem Mostert,14.954499999999996,87
00-0032104,Ameer Abdullah,16.3865,81
00-0032764,Derrick Henry,130.05249999999998,8
00-0032918,C.J. Ham,11.494499999999999,114
00-0033280,Christian McCaffrey,311.05250000000007,1
00-0033293,Aaron Jones,35.4745,38
00-0033376,Patrick Ricard,9.8645,131
00-0033526,Samaje Perine,25.7925,57
00-0033553,James Conner,17.368499999999997,77
00-0033699,Austin Ekeler,12.840499999999999,100
00-0033854,Dare Ogunbowale,15.964499999999997,82
00-0033906,Alvin Kamara,33.5485,40
00-0033923,Kareem Hunt,38.6445,32
00-0033955,Jeremy McNichols,23.6085,59
00-0034367,Nyheim Hines,9.486499999999992,144
00-0034791,Nick Chubb,29.530499999999996,51
00-0034844,Saquon Barkley,129.2925,9
00-0034959,Andrew Beck,12.5705,103
00-0034975,Justice Hill,20.0525,69
00-0035125,Alec Ingold,12.586500000000001,102
00-0035243,Miles Sanders,14.1325,90
00-0035250,Devin Singletary,31.810499999999998,45
00-0035261,Tony Pollard,61.18250000000001,23
00-0035291,Trayveon Williams,12.5885,101
00-0035311,Myles Gaskin,9.6145,139
00-0035537,Ty Johnson,28.490499999999997,52
00-0035567,Craig Reynolds,9.560499999999998,141
00-0035594,Travis Homer,9.444499999999998,147
00-0035628,D'Ernest Johnson,11.1385,118
00-0035685,David Montgomery,42.3525,28
00-0035700,Josh Jacobs,105.27250000000001,14
00-0036139,Rico Dowdle,76.8725,18
00-0036158,J.K. Dobbins,31.0765,48
00-0036187,Reggie Gilliam,11.026499999999999,121
00-0036223,Jonathan Taylor,182.98250000000002,3
00-0036265,AJ Dillon,11.6385,111
00-0036275,D'Andre Swift,91.0325,15
00-0036328,Antonio Gibson,13.354499999999994,93
00-0036360,Clyde Edwards-Helaire,10.532499999999999,125
00-0036414,Cam Akers,10.1145,129
00-0036425,DeeJay Dallas,9.962499999999999,130
00-0036555,Chuba Hubbard,35.832499999999996,37
00-0036567,Elijah Mitchell,9.664499999999997,137
00-0036727,Adam Prentice,13.650500000000001,92
00-0036755,Jaret Patterson,15.5685,83
00-0036842,Kene Nwangwu,11.718499999999999,110
00-0036875,Rhamondre Stevenson,39.4825,31
00-0036893,Najee Harris,11.598499999999994,113
00-0036906,Khalil Herbert,12.1065,108
00-0036919,Kenneth Gainwell,90.36249999999998,16
00-0036924,Michael Carter,33.284499999999994,42
00-0036973,Travis Etienne,119.0025,13
00-0036997,Javonte Williams,140.09249999999997,7
00-0037085,Tyler Badie,19.410499999999995,72
00-0037120,Tyler Goodson,11.6145,112
00-0037157,Bam Knight,31.418499999999998,47
00-0037197,Isiah Pacheco,30.240499999999997,49
00-0037228,Jaylen Warren,84.9925,17
00-0037248,James Cook,127.14249999999998,10
00-0037256,Rachaad White,40.2425,30
00-0037258,Dameon Pierce,10.834499999999998,124
00-0037263,Tyler Allgeier,33.488499999999995,41
00-0037267,Jerome Ford,21.384499999999996,62
00-0037276,Ty Chandler,12.926499999999997,97
00-0037329,Brittain Brown,10.170499999999997,128
00-0037525,Jordan Mason,33.058499999999995,43
00-0037557,Ronnie Rivers,10.192499999999995,127
00-0037563,Malik Davis,17.762499999999996,74
00-0037594,Julius Chestnut,11.1145,120
00-0037617,Hassan Haskins,12.0505,109
00-0037745,Velus Jones Jr.,9.726500000000001,135
00-0037746,Brian Robinson,23.5305,60
00-0037840,Kyren Williams,124.9125,12
