position,feature_set,model,num_features,mae,rmse,r2,bias_pred_minus_actual,high_score_games,high_score_mae,high_score_rmse,high_score_bias_pred_minus_actual,high_score_underprediction_rate,best_iteration
QB,rolling_only,linear_regression,36,6.5752,8.2269,0.1874,-0.0346,163,10.0451,11.3684,-9.9874,0.9816,
QB,rolling_only,lightgbm_expected,36,6.4657,8.0712,0.2179,0.0868,163,10.0302,11.3298,-9.9911,0.9816,66.0
QB,rolling_only,lightgbm_boom_weighted,36,6.7358,8.3641,0.1601,1.5117,163,8.3789,9.9547,-8.1777,0.9387,176.0
QB,rolling_only,lightgbm_ceiling_p75,36,7.8507,9.5012,-0.0838,4.7482,163,5.9109,7.5279,-5.3816,0.865,92.0
QB,rolling_plus_previous_season,linear_regression,49,6.5114,8.177,0.1972,-0.0718,163,9.9129,11.3071,-9.671,0.9387,
QB,rolling_plus_previous_season,lightgbm_expected,49,6.4633,7.9397,0.2432,0.3965,163,9.4318,10.819,-9.3625,0.9693,67.0
QB,rolling_plus_previous_season,lightgbm_boom_weighted,49,6.7616,8.2772,0.1775,1.6875,163,8.026,9.761,-7.63,0.908,142.0
QB,rolling_plus_previous_season,lightgbm_ceiling_p75,49,7.8344,9.3626,-0.0524,4.8233,163,5.7209,7.3618,-5.0274,0.8528,85.0
QB,full_features,linear_regression,55,6.5294,8.1827,0.1961,-0.1646,163,9.9435,11.3215,-9.7193,0.9325,
QB,full_features,lightgbm_expected,55,6.5019,8.0485,0.2223,0.1974,163,9.6734,11.1153,-9.6411,0.9877,83.0
QB,full_features,lightgbm_boom_weighted,55,6.7859,8.397,0.1535,1.2514,163,8.5443,10.2575,-8.3844,0.9509,191.0
QB,full_features,lightgbm_ceiling_p75,55,7.6428,9.1969,-0.0155,4.2979,163,6.0749,7.7548,-5.4268,0.8528,144.0
QB,full_without_defense,linear_regression,49,6.5114,8.177,0.1972,-0.0718,163,9.9129,11.3071,-9.671,0.9387,
QB,full_without_defense,lightgbm_expected,49,6.4842,7.9586,0.2396,0.4202,163,9.505,10.8635,-9.4451,0.9755,61.0
QB,full_without_defense,lightgbm_boom_weighted,49,6.7257,8.2567,0.1815,1.5522,163,8.1922,9.936,-7.8856,0.9202,132.0
QB,full_without_defense,lightgbm_ceiling_p75,49,7.7814,9.3256,-0.0441,4.688,163,5.7982,7.4745,-5.1463,0.8344,92.0
RB,rolling_only,linear_regression,33,4.8128,6.3448,0.3789,0.0727,138,12.4762,13.811,-12.4762,1.0,
RB,rolling_only,lightgbm_expected,33,4.9499,6.4513,0.3579,0.2083,138,12.6273,14.0342,-12.6273,1.0,78.0
RB,rolling_only,lightgbm_boom_weighted,33,5.3063,6.7087,0.3057,1.6564,138,10.1003,12.0682,-9.9561,0.942,104.0
RB,rolling_only,lightgbm_ceiling_p75,33,5.7562,7.0808,0.2265,2.8999,138,9.1059,11.0481,-8.8902,0.9275,172.0
RB,rolling_plus_previous_season,linear_regression,45,4.7286,6.2602,0.3954,0.0299,138,12.2822,13.6379,-12.2822,1.0,
RB,rolling_plus_previous_season,lightgbm_expected,45,4.8133,6.2727,0.393,0.2368,138,12.427,13.7598,-12.4147,0.9855,78.0
RB,rolling_plus_previous_season,lightgbm_boom_weighted,45,4.9561,6.379,0.3722,1.1157,138,10.7654,12.4536,-10.7328,0.9783,157.0
RB,rolling_plus_previous_season,lightgbm_ceiling_p75,45,5.5823,6.8466,0.2768,2.7601,138,9.3022,11.0634,-9.2583,0.9783,130.0
RB,full_features,linear_regression,59,4.6971,6.2674,0.394,-0.0797,138,12.352,13.7169,-12.352,1.0,
RB,full_features,lightgbm_expected,59,4.7206,6.2199,0.4031,0.1212,138,12.2901,13.7013,-12.2859,0.9928,93.0
RB,full_features,lightgbm_boom_weighted,59,4.8287,6.3105,0.3856,0.9239,138,10.7805,12.5301,-10.6905,0.9565,167.0
RB,full_features,lightgbm_ceiling_p75,59,5.418,6.7377,0.2996,2.4489,138,9.4365,11.1667,-9.3955,0.9855,284.0
RB,full_without_defense,linear_regression,45,4.7286,6.2602,0.3954,0.0299,138,12.2822,13.6379,-12.2822,1.0,
RB,full_without_defense,lightgbm_expected,45,4.8164,6.2659,0.3943,0.2699,138,12.4945,13.8035,-12.475,0.9855,70.0
RB,full_without_defense,lightgbm_boom_weighted,45,4.9298,6.3653,0.3749,1.1117,138,10.653,12.4352,-10.6278,0.971,168.0
RB,full_without_defense,lightgbm_ceiling_p75,45,5.6027,6.8813,0.2694,2.8172,138,9.251,11.0176,-9.2058,0.9783,151.0
WRTE,rolling_only,linear_regression,18,4.4183,6.0365,0.3253,-0.0326,244,14.3634,15.6405,-14.3634,1.0,
WRTE,rolling_only,lightgbm_expected,18,4.4449,6.0512,0.322,-0.0235,244,14.4569,15.671,-14.4569,1.0,107.0
WRTE,rolling_only,lightgbm_boom_weighted,18,4.8973,6.252,0.2762,1.5518,244,12.2228,13.6955,-12.2228,1.0,73.0
WRTE,rolling_only,lightgbm_ceiling_p75,18,5.2627,6.5784,0.1987,2.5093,244,10.7193,12.448,-10.7026,0.9877,167.0
WRTE,rolling_plus_previous_season,linear_regression,25,4.3663,5.9325,0.3483,0.0676,244,13.4519,14.9178,-13.4519,1.0,
WRTE,rolling_plus_previous_season,lightgbm_expected,25,4.3416,5.8986,0.3557,0.1651,244,13.3699,14.7897,-13.3699,1.0,106.0
WRTE,rolling_plus_previous_season,lightgbm_boom_weighted,25,4.7778,6.1275,0.3048,1.6424,244,11.2378,12.9403,-11.2255,0.9918,70.0
WRTE,rolling_plus_previous_season,lightgbm_ceiling_p75,25,5.1875,6.5319,0.21,2.637,244,9.8041,11.6622,-9.5866,0.9508,161.0
WRTE,full_features,linear_regression,35,4.3623,5.9328,0.3482,0.0436,244,13.4718,14.9248,-13.4718,1.0,
